Text,label
muslim immigrant says that we will conquer germany marry your daughters amp put head scarves on them this is why caa nrc populationcontrollaw is urgently required in our country,0
my message to indian muslims kashmir is the spark be behind kashmir caa and nrc protests will go to waste without kashmir be behind kashmir the body is hurting kashmir has nothing to do with nato or us yankee war,1
normally never i abuse anyone on twitter but today i just could not resist giving it to this scum look at what he wrote,2
heard someone suggesting holding anti caa nrc npr placards posters during the bartan banging at pm on sunday how about we all do that covid caa nrc npr anticaaprotests bengaluruprotest,1
The apex court has issued a notice to the Union government in all CAA matters filed in the court.  https://t.co/EtEzV7BTgV,2
With the Citizenship Amendment Act 2019 witnessing widespread debate and discussion across India we caught up with youngsters who had come out in support of the Act as well as National Register of Citizens (NRC). Take a look https://t.co/HDWCSQql04,0
what kejriwal does for muslims gives k to k per month to promoters of islam like imam and others what are these imam doing or learning spread violence block the roads caa nrc protests shaheen bagh kill hindus and throw to drain spread corona virus keju you are great,2
on day of indefinite protest against caa nrc npr bengaluru s bilal bagh is taking precautions against coronavirus screening all visitors mandatory masks and regular hand wishing are some of the new rules,2
i totally forgot to wish happybirthday to my favorite professor who inspired me to go out actually and educate people on issues such as ayodhya kashmir amp nrc caa npr he says agar apni desh ki realities ko samjhana gaddari ya deshdrohi h toh deshbhakti ki paribhasha badlo,2
add the cost of planes another crores crores for caa nrc npr and who knows how much for concentration camps being built and there s the bullet train,1
we are ready for a long drawn battle against the resolution against the caa npr nrc is the first step and there will be no compromise on this issue cm kcr said replying to a clarification raised by floor leader akbaruddin owaisi,1
"BJP MP @drsakshimaharaj says farmers' agitation aided by Congress actually against CAA, NRC, Article 370 &amp; Ram Temple. Listen in. https://t.co/Pcogar8Z5y",1
Nearly 100 organisations from across the country have decided to fight the Citizenship Amendment Act the National Population Register and the National Register of Citizens under one banner - We the People of India. #IndiaDoesNotSupportCAA | #CAA_NRC_NPR https://t.co/Y3M5D89qFi,1
pratapa simha they can understand nrc caa israel palestine conflict khaliphate isis issues but they can not recognise asha health workers padarayanapuraviolence,2
AIIMS Doctors UG students Scientists Nurses stand united against Citizenship Amendment Act. We also condemn the police brutality on innocent students of Jamia &amp; AMU. We pledged to fight against Modi Shah’s oppression on common citizens of India. #RollBackCAA #StandWithJamia https://t.co/KnQfUaPT1I,1
Hindu Rashtra Convention was held by HJS at Hindustani AcademyThe Convention was concluded with passing of resolution to make India and Nepalas Hindu Nations through their Constitutionsso also by passingof a resolution supporting Citizen Amendment Act #9thHinduAdhiveshanConcludes,0
full speech aimim floor leader janab on caa npr nrc resolution today in telangana state legislative assembly,2
@alnassar_kw People of #Kashmir being denied 4G in this day &amp; age so as to hide the Oppression of this Regime &amp;Military Citizenship Amendment Act aims to snatch away citizenship of Muslims through NRC. It'll take people of all Religions except Muslims from neighbouring countries as citizens,1
stunning ignorance by choice npr collects information and nrc validates information by marking people as d category and caa does a religion filter,1
Microsoft CEO Nadella says saddened by India's citizenship law #SatyaNadella #Microsoft #CAA #CAAProtest #CAAProtests #CAA_NRC_Protests https://t.co/bZj2hzUraW,1
no to caa nrc caa nrc protests,1
"The Matua community is actually demanding the immediate implementation of CAA in the state, as they want a certificate saying they are Indian citizens https://t.co/Q3lB6SVPHb",0
Congress caught trying to pass off old video of mock drill as police shooting CAA protesters to malign BJP govt in Assam  https://t.co/1W9PsLZolf,2
Code red flashed in India as the Narendra Modi government has intensified a crackdown on largely peaceful mass protests against the flawed Citizenship Amendment Act (CAA) and its bigoted twin the National Register of Citizens (NRC) writes @bainjal https://t.co/3xBTU4ggVJ,1
absolutely clear muslims are opposing caa npr nrc not only to force to grant citizenship to crore illegal muslims from bangladesh myanmar but also to force it to open indian borders for muslims from all over the world via,0
MHA seeks six more months till January 2022 to form rules for CAA https://t.co/55ktcizpOP,2
We The People of India are giving Nation-wide call to boycott the exercise of Updation of National Population Register(#NPR)as the only possible way to resist the divisive and discriminatory Citizenship Amendment Act(#CAA) and the exclusionary National Register of Citizens(#NRC). https://t.co/wvgtaSxmtk,1
